iter	Passed	Remaining
299	457	1068
300	458	1065
301	459	1062
302	460	1059
303	461	1056
304	462	1053
305	463	1050
306	463	1047
307	464	1044
308	465	1040
309	466	1037
310	467	1034
311	468	1032
312	469	1029
313	470	1027
314	471	1024
315	472	1023
316	473	1020
317	474	1017
318	475	1015
319	476	1012
320	477	1009
321	478	1007
322	479	1004
323	480	1001
324	481	999
325	482	996
326	483	994
327	484	991
328	485	989
329	486	987
330	487	985
331	488	983
332	490	981
333	491	979
334	492	977
335	493	974
336	494	972
337	495	970
338	496	968
339	497	966
340	501	968
341	502	966
342	503	963
343	504	962
344	505	959
345	506	957
346	507	955
347	508	952
348	509	949
349	510	947
350	510	944
351	511	942
352	513	940
353	515	940
354	516	938
355	517	935
356	518	933
357	519	931
358	520	929
359	521	927
360	522	925
361	523	923
362	524	920
363	525	918
364	526	916
365	528	914
366	529	912
367	530	910
368	531	909
369	533	907
370	534	905
371	535	903
372	536	901
373	537	899
374	538	897
375	539	895
376	540	893
377	541	891
378	543	889
379	544	887
380	545	885
381	546	883
382	547	881
383	548	879
384	549	877
385	550	875
386	551	874
387	552	872
388	553	869
389	554	867
390	555	865
391	557	864
392	558	862
393	559	859
394	559	857
395	560	855
396	561	853
397	562	851
398	563	849
399	564	847
400	566	845
401	567	843
402	568	841
403	569	839
404	570	838
405	572	837
406	573	835
407	574	833
408	575	831
409	576	829
410	577	827
411	578	825
412	579	823
413	580	821
414	581	819
415	582	817
416	583	815
417	584	813
418	585	811
419	586	809
420	587	807
421	588	805
422	589	804
423	590	802
424	591	800
425	592	798
426	593	796
427	594	794
428	595	793
429	596	791
430	597	789
431	598	787
432	599	785
433	600	783
434	601	781
435	602	779
436	603	777
437	604	775
438	605	773
439	606	771
440	607	769
441	608	767
442	609	766
443	610	764
444	611	762
445	612	760
446	613	759
447	614	757
448	615	755
449	616	753
450	617	752
451	618	750
452	619	748
453	621	746
454	622	745
455	623	744
456	625	742
457	626	741
458	627	739
459	628	737
460	629	736
461	630	734
462	631	732
463	632	731
464	634	729
465	635	727
466	636	726
467	637	724
468	638	722
469	639	721
470	641	720
471	642	718
472	643	716
473	644	715
474	645	713
475	646	711
476	647	710
477	648	708
478	649	706
479	650	704
480	651	703
481	652	701
482	654	700
483	655	698
484	656	697
485	657	695
486	658	693
487	659	692
488	660	690
489	661	688
490	662	686
491	663	684
492	664	682
493	666	682
494	667	680
495	668	679
496	669	677
497	670	675
498	671	674
499	672	672
500	673	671
501	674	669
502	675	667
503	676	665
504	677	664
505	678	662
506	680	661
507	681	660
508	682	658
509	683	656
510	684	655
511	685	653
512	686	651
513	687	650
514	688	648
515	689	647
516	690	645
517	691	643
518	692	642
519	694	641
520	695	639
521	696	638
522	698	637
523	699	635
524	700	633
525	701	632
526	702	630
527	703	628
528	704	627
529	705	625
530	706	623
531	707	622
532	708	620
533	709	619
534	711	618
535	712	616
536	713	615
537	714	613
538	715	611
539	716	610
540	717	608
541	718	606
542	719	605
543	720	603
544	721	602
545	722	601
546	723	599
547	724	597
548	725	596
549	726	594
550	728	593
551	729	592
552	730	590
553	731	589
554	732	587
555	733	586
556	734	584
557	735	582
558	737	581
559	738	580
560	739	578
561	740	576
562	741	575
563	742	574
564	743	572
565	744	571
566	745	569
567	746	568
568	747	566
569	749	565
570	750	563
571	751	562
572	752	561
573	753	559
574	755	558
575	756	556
576	757	555
577	758	553
578	759	552
579	760	550
580	761	549
581	762	547
582	764	546
583	765	545
584	780	553
585	781	552
586	782	550
587	783	549
588	784	547
589	786	546
590	788	545
591	789	543
592	790	542
593	791	540
594	792	539
595	793	538
596	795	536
597	796	535
598	797	534
599	798	532
600	799	530
601	800	529
602	801	527
603	802	526
604	803	524
605	804	523
606	805	521
607	806	520
608	808	519
609	811	518
610	812	517
611	813	515
612	814	514
613	816	513
614	817	511
615	818	510
616	819	508
617	820	507
618	822	505
619	823	504
620	824	503
621	825	501
622	826	500
623	827	498
624	828	497
625	829	495
626	831	494
627	832	492
628	833	491
629	834	489
630	835	488
631	836	487
632	837	485
633	838	484
634	839	482
635	840	481
636	841	479
637	842	478
638	843	476
639	844	474
640	845	473
641	845	471
642	846	470
643	847	468
644	847	466
645	848	465
646	850	463
647	851	462
648	851	460
649	852	459
650	853	457
651	854	456
652	855	454
653	856	452
654	857	451
655	858	449
656	858	448
657	859	446
658	860	445
659	861	443
660	862	442
661	863	440
662	864	439
663	865	437
664	866	436
665	867	434
666	867	433
667	868	431
668	869	430
669	870	428
670	871	427
671	872	425
672	873	424
673	874	422
674	874	421
675	875	419
676	876	418
677	877	416
678	878	415
679	879	413
680	880	412
681	881	410
682	882	409
683	882	407
684	883	406
685	884	404
686	885	403
687	886	401
688	887	400
689	888	398
690	888	397
691	889	395
692	890	394
693	891	393
694	892	391
695	893	390
696	894	388
697	894	387
698	895	385
699	896	384
700	897	382
701	898	381
702	899	379
703	900	378
704	900	376
705	901	375
706	902	373
707	902	372
708	903	370
709	904	369
710	905	368
711	906	366
712	907	365
713	907	363
714	908	362
715	909	360
716	910	359
717	911	357
718	912	356
719	913	355
720	913	353
721	914	352
722	915	350
723	916	349
724	917	347
725	918	346
726	919	345
727	919	343
728	920	342
729	921	340
730	922	339
731	923	337
732	923	336
733	924	335
734	925	333
735	926	332
736	927	330
737	928	329
738	929	328
739	930	326
740	930	325
741	931	323
742	932	322
743	933	321
744	934	319
745	935	318
746	936	317
747	936	315
748	937	314
749	938	312
750	939	311
751	940	310
752	941	308
753	942	307
754	942	305
755	943	304
756	944	303
757	945	301
758	946	300
759	947	299
760	947	297
761	948	296
762	949	294
763	950	293
764	951	292
765	952	290
766	952	289
767	953	288
768	954	286
769	955	285
770	956	284
771	957	282
772	957	281
773	958	279
774	959	278
775	960	277
776	961	275
777	962	274
778	963	273
779	963	271
780	964	270
781	965	269
782	966	267
783	967	266
784	968	265
785	968	263
786	969	262
787	970	261
788	971	259
789	972	258
790	973	257
791	974	255
792	974	254
793	975	253
794	976	251
795	977	250
796	978	249
797	979	247
798	980	246
799	981	245
800	981	243
801	982	242
802	983	241
803	984	239
804	984	238
805	985	237
806	986	235
807	987	234
808	988	233
809	988	231
810	989	230
811	990	229
812	991	228
813	992	226
814	993	225
815	993	224
816	994	222
817	995	221
818	996	220
819	996	218
820	997	217
821	998	216
822	999	214
823	1000	213
824	1001	212
825	1001	211
826	1002	209
827	1004	208
828	1005	207
829	1006	206
830	1006	204
831	1007	203
832	1008	202
833	1009	200
834	1010	199
835	1010	198
836	1011	197
837	1012	195
838	1013	194
839	1014	193
840	1015	191
841	1016	190
842	1017	189
843	1017	188
844	1018	186
845	1019	185
846	1020	184
847	1021	183
848	1022	181
849	1022	180
850	1023	179
851	1024	177
852	1025	176
853	1026	175
854	1027	174
855	1028	172
856	1029	171
857	1030	170
858	1031	169
859	1031	167
860	1032	166
861	1033	165
862	1034	164
863	1035	162
864	1036	161
865	1037	160
866	1037	159
867	1038	157
868	1039	156
869	1040	155
870	1041	154
871	1041	152
872	1042	151
873	1043	150
874	1044	149
875	1045	147
876	1045	146
877	1046	145
878	1047	144
879	1048	142
880	1048	141
881	1049	140
882	1050	139
883	1051	138
884	1052	136
885	1053	135
886	1054	134
887	1055	133
888	1055	131
889	1056	130
890	1057	129
891	1058	128
892	1059	126
893	1061	125
894	1062	124
895	1063	123
896	1063	122
897	1064	120
898	1065	119
899	1066	118
900	1067	117
901	1068	116
902	1069	114
903	1070	113
904	1070	112
905	1071	111
906	1072	109
907	1073	108
908	1074	107
909	1075	106
910	1076	105
911	1076	103
912	1077	102
913	1078	101
914	1079	100
915	1080	99
916	1080	97
917	1081	96
918	1082	95
919	1083	94
920	1083	92
921	1084	91
922	1085	90
923	1086	89
924	1087	88
925	1088	86
926	1089	85
927	1090	84
928	1090	83
929	1091	82
930	1092	80
931	1093	79
932	1094	78
933	1095	77
934	1095	76
935	1096	74
936	1097	73
937	1098	72
938	1098	71
939	1099	70
940	1100	69
941	1101	67
942	1102	66
943	1103	65
944	1103	64
945	1104	63
946	1105	61
947	1106	60
948	1107	59
949	1108	58
950	1109	57
951	1109	55
952	1110	54
953	1111	53
954	1112	52
955	1113	51
956	1113	50
957	1114	48
958	1115	47
959	1116	46
960	1117	45
961	1118	44
962	1118	42
963	1119	41
964	1120	40
965	1121	39
966	1122	38
967	1123	37
968	1123	35
969	1124	34
970	1125	33
971	1126	32
972	1127	31
973	1128	30
974	1129	28
975	1130	27
976	1130	26
977	1131	25
978	1132	24
979	1133	23
980	1134	21
981	1135	20
982	1136	19
983	1137	18
984	1138	17
985	1138	16
986	1139	15
987	1140	13
988	1141	12
989	1142	11
990	1143	10
991	1143	9
992	1144	8
993	1145	6
994	1146	5
995	1147	4
996	1148	3
997	1148	2
998	1149	1
999	1150	0
